epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,9360.02,1.07004,2.01425,0.9737,1.16335,0,0.78943,0.57957,0.6588,0.4517,0.69538,0.4824,0.48054,0.09102,0.9004,1.38879,2.8272,0.91277,0,0.00101,0.00101,0.00101
47,9557.01,1.06407,2.00724,0.95757,1.16348,0,0.80051,0.5658,0.65448,0.45408,0.69754,0.47093,0.47796,0.09366,0.89733,1.38342,1.55625,0.91796,0,0.000988,0.000988,0.000988
48,9755.29,1.06349,1.98148,0.95275,1.1579,0,0.80211,0.57192,0.65695,0.45821,0.7084,0.47956,0.4936,0.09912,0.8945,1.38002,3.0661,0.90821,0,0.000966,0.000966,0.000966
49,9967.15,1.05218,1.98438,0.94029,1.14768,0,0.79272,0.58263,0.66047,0.4597,0.69434,0.47322,0.48123,0.09457,0.88796,1.37913,2.50091,0.90426,0,0.000944,0.000944,0.000944
50,10179,1.06574,2.00155,0.9452,1.15975,0,0.8371,0.56886,0.67068,0.46634,0.73673,0.48623,0.50674,0.10109,0.87539,1.37763,2.17676,0.89245,0,0.000922,0.000922,0.000922
51,10393.2,1.05351,1.99176,0.93814,1.15067,0,0.80544,0.58597,0.66879,0.46399,0.73566,0.48776,0.50224,0.0973,0.88225,1.38218,1.65798,0.90089,0,0.0009,0.0009,0.0009
52,10604.5,1.05084,1.98023,0.93499,1.14986,0,0.7974,0.58722,0.67004,0.47047,0.73038,0.49224,0.50703,0.10423,0.87648,1.37276,2.0615,0.89591,0,0.000878,0.000878,0.000878
53,10818.9,1.04547,1.97679,0.917,1.14705,0,0.80969,0.58914,0.67418,0.47469,0.70689,0.49809,0.50622,0.10069,0.85869,1.37625,2.04806,0.88303,0,0.000856,0.000856,0.000856
54,11033.7,1.04329,1.96862,0.92889,1.14561,0,0.80596,0.59602,0.67577,0.47684,0.7252,0.51109,0.52372,0.10908,0.86193,1.36781,2.26241,0.87372,0,0.000834,0.000834,0.000834
55,11246.9,1.04286,1.96821,0.90814,1.14302,0,0.82995,0.58531,0.67622,0.47185,0.71354,0.4898,0.48974,0.09332,0.86059,1.36548,1.35094,0.8755,0,0.000812,0.000812,0.000812
56,11459.3,1.02538,1.96417,0.89567,1.13051,0,0.81384,0.59203,0.67794,0.47524,0.72557,0.49358,0.50025,0.09861,0.84871,1.37211,1.92757,0.86325,0,0.00079,0.00079,0.00079
57,11672.3,1.03342,1.95875,0.89156,1.13495,0,0.81874,0.60252,0.68732,0.47829,0.72573,0.50612,0.51862,0.106,0.85897,1.3694,1.49128,0.87312,0,0.000768,0.000768,0.000768
58,11882.4,1.02483,1.95661,0.89588,1.14066,0,0.8154,0.61209,0.68669,0.48114,0.7139,0.50191,0.50122,0.09731,0.85474,1.37041,1.58341,0.8719,0,0.000746,0.000746,0.000746
59,12088.4,1.01639,1.95531,0.88065,1.12925,0,0.8449,0.58837,0.69004,0.48544,0.75194,0.50791,0.53014,0.11022,0.84113,1.36108,1.58582,0.86333,0,0.000724,0.000724,0.000724
60,12298.5,1.01681,1.9541,0.88733,1.12087,0,0.83919,0.59893,0.68777,0.48315,0.73758,0.51934,0.51943,0.10561,0.84036,1.35793,1.30487,0.86389,0,0.000702,0.000702,0.000702
61,12508.2,1.01038,1.95146,0.86766,1.12452,0,0.84701,0.58875,0.68793,0.49063,0.74585,0.51071,0.52994,0.10949,0.83594,1.36011,1.38927,0.85134,0,0.00068,0.00068,0.00068
62,12720.8,1.00465,1.94077,0.87487,1.12071,0,0.8233,0.61315,0.68916,0.48777,0.73184,0.52601,0.53399,0.1097,0.83922,1.3566,1.5642,0.85713,0,0.000658,0.000658,0.000658
63,12922.6,1.01381,1.96633,0.86728,1.11916,0,0.83319,0.60903,0.69439,0.4975,0.74383,0.52542,0.53658,0.11,0.82832,1.35924,1.32111,0.84634,0,0.000636,0.000636,0.000636
64,13119.2,1.02239,1.97124,0.87697,1.12247,0,0.819,0.61449,0.69208,0.49188,0.74267,0.51672,0.52997,0.10985,0.83527,1.34774,1.4002,0.85329,0,0.000614,0.000614,0.000614
65,13313,1.00522,1.92743,0.85973,1.11816,0,0.83241,0.61373,0.69426,0.49911,0.73964,0.53137,0.53716,0.11105,0.81706,1.35742,1.24294,0.83957,0,0.000592,0.000592,0.000592
66,13511.4,0.99184,1.92758,0.84668,1.11206,0,0.83384,0.6124,0.69589,0.49971,0.73742,0.52563,0.53184,0.10905,0.82272,1.34979,1.46873,0.84775,0,0.00057,0.00057,0.00057
67,13713.7,0.98803,1.92384,0.82555,1.10354,0,0.85,0.60941,0.69893,0.50125,0.74927,0.53389,0.54971,0.11369,0.82065,1.34743,1.44042,0.83969,0,0.000548,0.000548,0.000548
68,13918.3,0.98935,1.93683,0.83528,1.10393,0,0.84539,0.61936,0.69621,0.49855,0.73657,0.53405,0.53888,0.11045,0.82486,1.35377,1.31097,0.83825,0,0.000526,0.000526,0.000526
69,14114.1,0.98102,1.9145,0.82584,1.10181,0,0.84262,0.61859,0.70131,0.50518,0.76272,0.53491,0.55079,0.1171,0.81234,1.35106,1.13436,0.83248,0,0.000504,0.000504,0.000504
70,14311.6,0.98797,1.91454,0.8338,1.10522,0,0.8462,0.61974,0.70512,0.50707,0.75708,0.53773,0.5544,0.1153,0.81208,1.3412,1.30749,0.82676,0,0.000482,0.000482,0.000482
71,14510.8,0.98689,1.92335,0.83273,1.10497,0,0.82011,0.6331,0.7015,0.5069,0.76983,0.52971,0.55243,0.11634,0.81705,1.34526,1.29965,0.83583,0,0.00046,0.00046,0.00046
72,14706.9,0.99356,1.9216,0.83346,1.10624,0,0.82776,0.63351,0.70487,0.50764,0.77726,0.5329,0.5595,0.11593,0.8199,1.34451,1.29785,0.83476,0,0.000438,0.000438,0.000438
73,14919.9,0.97648,1.9152,0.81012,1.09786,0,0.83754,0.62126,0.70316,0.50809,0.77286,0.53596,0.55911,0.11567,0.82084,1.34575,1.06578,0.83698,0,0.000416,0.000416,0.000416
74,15149.4,0.97672,1.91628,0.81277,1.09884,0,0.87003,0.61744,0.70806,0.51106,0.77738,0.5397,0.56218,0.11727,0.8136,1.34071,1.21759,0.83143,0,0.000394,0.000394,0.000394
75,15377.1,0.97185,1.90328,0.80559,1.09923,0,0.8537,0.62057,0.70709,0.51566,0.76144,0.53979,0.56016,0.11914,0.80957,1.34105,1.13135,0.82725,0,0.000372,0.000372,0.000372
76,15591.8,0.96741,1.90668,0.80303,1.096,0,0.84552,0.62607,0.70699,0.51225,0.76038,0.5394,0.55341,0.11541,0.80439,1.3438,1.16395,0.82384,0,0.00035,0.00035,0.00035
77,15794.6,0.95562,1.89148,0.79106,1.09405,0,0.87763,0.62012,0.70837,0.51061,0.77186,0.5394,0.5547,0.11534,0.80699,1.34547,1.09821,0.82177,0,0.000328,0.000328,0.000328
78,15995.2,0.95153,1.89852,0.78441,1.09209,0,0.85263,0.62433,0.70719,0.51513,0.77279,0.53902,0.55823,0.11584,0.79841,1.33713,1.06437,0.81661,0,0.000306,0.000306,0.000306
79,16196.5,0.9533,1.90421,0.78838,1.08846,0,0.84365,0.63198,0.70573,0.51481,0.76522,0.53866,0.55537,0.11452,0.79525,1.33189,1.14548,0.81786,0,0.000284,0.000284,0.000284
80,16394.6,0.95026,1.88721,0.78217,1.08976,0,0.84218,0.63284,0.71023,0.51282,0.76583,0.5394,0.55679,0.11452,0.79954,1.33932,1.061,0.81583,0,0.000262,0.000262,0.000262
81,16579.9,0.90751,1.68461,0.79854,1.13785,0,0.82524,0.64155,0.70956,0.51464,0.75309,0.54055,0.55633,0.1118,0.79828,1.34661,1.20719,0.81857,0,0.00024,0.00024,0.00024
82,16763,0.89423,1.66108,0.76517,1.13168,0,0.84995,0.63236,0.71171,0.51627,0.75538,0.54285,0.55837,0.1156,0.79719,1.34199,1.08957,0.81731,0,0.000218,0.000218,0.000218
83,16944.7,0.87471,1.63842,0.73874,1.11432,0,0.85919,0.62323,0.71403,0.52051,0.77056,0.54285,0.56415,0.11736,0.79666,1.34032,1.05064,0.81897,0,0.000196,0.000196,0.000196
84,17126.8,0.87612,1.64707,0.75225,1.11652,0,0.85973,0.62838,0.71397,0.52126,0.77911,0.54705,0.5691,0.11799,0.79278,1.33788,1.02004,0.81699,0,0.000174,0.000174,0.000174
85,17309.7,0.86644,1.65989,0.73508,1.10298,0,0.8752,0.62816,0.71712,0.52318,0.77754,0.54688,0.56732,0.11854,0.79356,1.33687,0.98084,0.81381,0,0.000152,0.000152,0.000152
86,17492.8,0.86536,1.64512,0.72488,1.11005,0,0.86407,0.625,0.71499,0.52597,0.78487,0.53454,0.565,0.11809,0.79197,1.33666,1.0134,0.81108,0,0.00013,0.00013,0.00013
87,17678.3,0.86368,1.65283,0.7267,1.10793,0,0.86566,0.62816,0.71579,0.52876,0.77808,0.54055,0.56576,0.1187,0.7909,1.33727,0.97774,0.8106,0,0.000108,0.000108,0.000108
88,17863.5,0.85747,1.64346,0.72439,1.1092,0,0.85372,0.63466,0.71595,0.52743,0.77288,0.5417,0.56391,0.11855,0.78766,1.33781,0.96822,0.80805,0,8.6e-05,8.6e-05,8.6e-05
89,18047,0.85326,1.63421,0.71932,1.10382,0,0.86316,0.63351,0.71796,0.52914,0.7809,0.54674,0.56856,0.11917,0.78579,1.33789,0.96462,0.80698,0,6.4e-05,6.4e-05,6.4e-05
90,18232.8,0.84922,1.62679,0.71086,1.10004,0,0.86318,0.63275,0.71562,0.52876,0.77756,0.54858,0.57264,0.1201,0.78266,1.33684,0.96148,0.80584,0,4.2e-05,4.2e-05,4.2e-05
